f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
0.187134,0.115842,0.112148,-0.195460,-0.047673,-0.280690,-0.125489,0.148486,0.278314,0.206510,A
-0.134902,0.079723,0.117858,0.203217,0.032089,-0.362245,-0.197124,0.352642,0.554248,-0.020522,A
-0.042107,0.397982,0.209199,-0.023604,-0.199111,-0.401883,0.072174,0.389974,0.136672,-0.298395,A
-0.115987,0.290195,0.406736,0.095934,-0.041020,-0.159952,-0.155217,0.326777,0.260890,0.195371,A
-0.029975,0.222805,0.315361,-0.165689,-0.336840,-0.094773,-0.099868,0.357185,0.314359,0.219690,A
-0.036272,0.364436,0.100346,0.077292,-0.049436,-0.144193,0.221364,0.302993,0.106437,-0.069864,A
0.370923,0.238879,-0.049728,0.049821,-0.070364,-0.315370,0.260841,0.506029,0.131087,-0.119347,A
0.281645,0.061329,0.086926,0.062619,-0.390522,-0.133134,-0.025066,0.377351,0.139583,-0.245380,A
0.256159,0.275000,0.027022,-0.021563,-0.071012,-0.266041,-0.002875,0.587340,0.109318,-0.116490,A
0.138747,0.496986,0.058289,-0.152453,-0.215072,-0.064148,0.300413,0.504550,-0.156277,0.020024,A
0.333955,-0.042289,-0.030311,-0.132766,-0.153800,-0.124604,0.218170,0.031730,0.032051,-0.076237,A
0.049652,0.167630,-0.208662,-0.155815,-0.074812,0.239205,0.278956,0.004317,0.369942,0.004518,A
0.376587,0.381234,0.120690,-0.259851,-0.440590,0.049966,0.294225,0.364996,0.239283,-0.597563,A
0.305459,0.309079,-0.174078,-0.494140,-0.397679,-0.085844,0.350817,0.189537,-0.212352,-0.394054,A
-0.243751,0.122782,-0.253648,-0.183371,-0.327927,-0.045350,0.227152,0.488744,-0.146239,-0.293088,A
0.194544,0.231512,-0.168621,-0.059209,-0.131227,-0.140289,0.463519,0.244026,0.132148,-0.010165,A
0.157714,0.100408,-0.148198,-0.071763,-0.155238,0.205384,0.059653,0.191950,0.042311,0.244845,A
0.277507,0.018898,-0.006452,-0.046691,-0.122450,-0.117267,0.357345,0.245141,-0.094159,-0.527482,A
0.480502,-0.289192,-0.166456,-0.191331,-0.132192,0.314882,-0.112232,0.335070,-0.011244,-0.260494,A
0.345822,0.141758,-0.066665,-0.258651,-0.336313,0.232873,0.317179,0.020479,0.117548,-0.509524,A
