f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
0.169239,0.028467,0.179681,-0.196429,-0.446777,-0.193007,0.224010,0.499800,0.055216,-0.027282,A
0.262687,0.392289,0.171393,-0.003454,-0.499860,-0.304885,0.184343,0.430991,0.245165,-0.249991,A
0.150880,0.485569,-0.053721,-0.210512,-0.202948,-0.230176,0.283059,0.202712,0.295765,-0.131105,A
0.295715,0.415390,0.181832,-0.277080,-0.439795,0.009898,-0.032908,0.318663,0.061790,-0.116919,A
0.428842,0.485543,0.046223,-0.112349,-0.449104,-0.224761,0.237800,0.554078,0.298342,-0.241893,A
0.356290,0.151114,0.145688,-0.327616,-0.348038,-0.184559,0.343387,0.422714,0.198825,-0.082828,A
0.300768,0.422548,0.052675,-0.316547,-0.464161,-0.158310,0.370579,0.398292,0.181295,-0.199142,A
0.344548,0.283304,-0.062675,-0.337892,-0.423507,0.112180,0.200006,0.296912,0.233105,-0.280470,A
0.387429,0.250385,0.004945,-0.437670,-0.213932,-0.048826,0.305701,0.326731,0.071154,-0.381869,A
0.492648,0.358968,0.077823,-0.340920,-0.421878,0.047344,0.086870,0.248854,0.082139,-0.246636,A
0.421887,0.196695,-0.004970,-0.351951,-0.478112,-0.074739,0.378978,0.164151,0.018552,0.001113,A
0.350694,0.373045,0.260572,-0.481897,-0.537114,-0.055390,0.529430,0.415216,0.100587,-0.194661,A
0.341683,0.221678,-0.147699,-0.370246,-0.318678,0.158485,0.461075,0.332956,-0.155984,-0.471659,A
0.266999,0.338653,-0.106656,-0.295498,-0.387910,0.161734,0.426739,0.489562,0.006508,-0.441415,A
0.359517,0.370558,0.131242,-0.593729,-0.376646,0.019957,0.454702,0.391885,-0.107279,-0.375546,A
0.432320,0.421457,-0.174616,-0.296696,-0.348652,0.191136,0.304161,0.415750,0.008556,-0.215849,A
0.356506,0.226247,-0.183690,-0.517648,-0.228560,0.136777,0.269399,0.369948,0.010419,-0.295319,A
0.442802,0.214850,-0.169594,-0.419923,-0.136172,0.177183,0.542579,0.359925,-0.161137,-0.287991,A
0.460807,0.360152,-0.199142,-0.384909,-0.205862,0.332411,0.334211,0.208450,-0.018455,-0.367646,A
0.404474,0.210697,-0.220841,-0.497647,-0.180491,0.208694,0.487410,0.185178,-0.181934,-0.380422,A
0.540011,0.288478,-0.401340,-0.359320,-0.101736,0.231781,0.490327,0.248664,-0.130138,-0.532493,A
0.442428,0.176539,-0.207278,-0.461717,-0.311920,0.287207,0.500872,-0.006677,-0.127870,-0.363644,A
0.419511,0.048581,-0.174240,-0.365969,-0.281493,0.401514,0.493949,0.149682,-0.113905,-0.248369,A
0.366253,0.164213,-0.409257,-0.431223,-0.160601,0.226602,0.469796,0.299794,-0.373735,-0.424843,A
0.449494,0.005062,-0.278001,-0.461806,-0.199096,0.224611,0.472570,0.152808,-0.180377,-0.366663,A
0.398801,-0.038518,-0.414954,-0.382237,-0.156833,0.514289,0.562668,0.077644,-0.352752,-0.420289,A
0.451966,-0.026518,-0.315465,-0.427196,-0.133779,0.336186,0.264332,0.046045,-0.285349,-0.542814,A
0.231261,-0.066414,-0.451979,-0.212430,0.063501,0.450087,0.447241,0.048294,-0.358057,-0.376117,A
0.212046,-0.074808,-0.386763,-0.509753,0.055094,0.336649,0.540521,-0.276228,-0.326383,-0.512275,A
0.275377,0.047705,-0.400979,-0.282261,0.158370,0.654281,0.372218,-0.029992,-0.253818,-0.360679,A
0.093756,-0.044917,-0.431219,-0.315201,0.033140,0.433269,0.284347,-0.052085,-0.223330,-0.335158,A
0.339518,-0.227068,-0.370149,-0.373457,0.058632,0.451239,0.346075,0.058571,-0.395059,-0.387091,A
0.109866,-0.115163,-0.416660,-0.333435,0.009583,0.426371,0.456713,-0.147020,-0.242683,-0.421726,A
0.089206,-0.212695,-0.656718,-0.239382,0.138010,0.430988,0.203354,-0.122872,-0.372893,-0.456845,A
0.257201,-0.169280,-0.444603,-0.181963,0.173458,0.348167,0.443684,-0.202086,-0.511517,-0.366538,A
0.405470,-0.179121,-0.370018,-0.226464,0.107744,0.304139,0.412862,-0.135324,-0.551906,-0.202237,A
0.208491,-0.217397,-0.484003,-0.317893,0.208716,0.474174,0.228279,-0.118097,-0.557328,-0.311011,A
0.180198,-0.183415,-0.615534,-0.407386,0.209971,0.466443,0.247264,-0.258987,-0.550730,-0.451540,A
0.030508,-0.247189,-0.434863,-0.008858,0.301924,0.219824,0.320106,-0.186460,-0.493362,-0.282248,A
0.028268,-0.210765,-0.559928,-0.141084,0.126689,0.283195,0.274579,-0.005656,-0.529505,-0.194543,A
-0.168545,-0.344876,-0.543512,-0.200551,0.196127,0.409896,0.230063,-0.324366,-0.286869,-0.123379,A
0.130500,-0.241610,-0.492903,-0.084448,0.461455,0.445147,0.194535,-0.075042,-0.476568,-0.290877,A
-0.107961,-0.174203,-0.441558,-0.147670,0.232743,0.421141,0.032612,-0.225074,-0.609389,-0.151238,A
0.005122,-0.437144,-0.354950,0.018093,0.467927,0.196996,-0.255451,-0.241916,-0.424867,-0.053333,A
0.134767,-0.462503,-0.151120,-0.002892,0.380564,0.278728,0.253827,-0.248841,-0.488455,-0.179542,A
-0.099875,-0.461639,-0.342550,-0.089186,0.459788,0.283480,0.003939,-0.120731,-0.517352,-0.146846,A
-0.106729,-0.269782,-0.399954,-0.009280,0.350841,0.363740,0.036409,-0.413113,-0.576983,-0.191375,A
-0.139074,-0.284294,-0.141805,0.144746,0.254351,0.096296,-0.028127,-0.275659,-0.290859,-0.079044,A
-0.142310,-0.348270,-0.415561,0.083249,0.412492,0.241801,-0.114072,-0.133008,-0.316106,0.012660,A
-0.209384,-0.322648,-0.477624,0.055168,0.167346,0.302460,-0.101236,-0.355021,-0.381774,-0.015166,A
-0.038565,-0.169071,-0.103695,0.045590,0.378727,0.335659,-0.012112,-0.515358,-0.231475,0.089754,A
-0.019308,-0.193108,-0.169806,0.186807,0.337181,0.379468,-0.074374,-0.330590,-0.298305,-0.018624,A
-0.198360,-0.345023,-0.165601,0.348615,0.228807,0.335534,-0.119110,-0.175102,-0.341879,-0.224247,A
-0.132135,-0.326319,-0.230780,0.140246,0.186019,0.296414,-0.138046,-0.356376,-0.361389,0.219459,A
-0.342431,-0.294429,-0.083363,0.182435,0.139744,0.466246,0.009014,-0.231182,-0.136144,0.067119,A
-0.226688,-0.338385,-0.236114,0.357830,0.243292,0.188224,-0.073032,-0.413096,-0.228423,0.100679,A
-0.218816,-0.404707,-0.162495,0.250125,0.208223,0.400956,-0.253396,-0.389546,-0.118097,0.163758,A
-0.235545,-0.308817,0.060096,0.089009,0.174447,0.073110,-0.024191,-0.248211,0.037881,0.176132,A
-0.202799,-0.260643,-0.043963,0.089533,0.220086,0.161701,-0.329765,-0.169984,-0.095363,0.120087,A
-0.244759,-0.292045,0.087540,0.026883,0.373013,0.116442,-0.280842,-0.310909,0.047918,0.190405,A
-0.305095,-0.174480,-0.025368,0.347644,0.217413,-0.007334,-0.091715,-0.107302,0.006010,0.169338,A
-0.267557,-0.119229,-0.129089,0.133437,0.079960,0.036776,-0.141240,-0.282058,-0.018733,0.164577,A
-0.227002,-0.309579,0.178403,0.130994,0.285133,0.005675,-0.194788,-0.035980,-0.097893,0.093367,A
-0.141940,-0.106272,-0.177469,0.262736,0.156954,-0.082994,-0.264003,-0.387724,-0.189930,0.047634,A
-0.143215,0.037315,-0.010840,0.219038,0.064607,-0.013493,-0.240967,-0.033560,-0.087861,0.157512,A
-0.155980,-0.007724,0.087766,0.429365,0.221943,0.128327,-0.136725,-0.079878,-0.010351,0.269073,A
-0.087208,-0.050331,0.137714,0.292150,0.103215,-0.127117,-0.159728,-0.280165,0.106410,0.251579,A
-0.124069,-0.074902,-0.026339,0.169381,0.147771,-0.026245,-0.159573,0.060143,0.073609,0.218693,A
-0.196063,-0.120900,0.062018,0.228852,0.107629,-0.069034,-0.114488,-0.068243,0.070443,0.431535,A
-0.101167,-0.166581,0.061586,0.178018,-0.011992,-0.060110,-0.015073,-0.230872,0.107830,0.198960,A
-0.222167,-0.016247,0.008273,0.235025,0.069098,0.025146,-0.183886,-0.423659,0.018956,0.058139,A
