f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
1.507924,2.473351,0.827558,0.658116,0.020320,0.767958,0.829034,1.733699,2.331986,0.840937,B
1.127382,1.575254,1.141704,0.756364,0.988832,-0.292643,2.002534,1.209391,2.310462,0.971185,B
1.972837,1.334641,1.663997,0.676348,1.039917,1.712753,2.260157,1.881331,1.660619,0.841091,B
0.450501,-0.428527,0.296501,-1.071345,-0.820506,0.135358,0.397475,0.505352,0.231098,-1.337127,A
-0.308563,0.892208,-0.685224,0.465357,-1.462862,0.088739,0.588133,0.244742,0.467339,0.070844,A
0.456823,0.803762,-0.078916,0.136117,-0.628591,-0.361597,-0.375351,0.258739,0.322679,-0.097119,A
0.498415,0.356265,-0.229127,-0.111011,-0.708784,0.107406,0.173951,0.246298,-0.189619,-0.749848,A
1.183630,0.882391,-0.844107,0.034063,-0.428538,-0.019943,1.073731,0.722143,0.249703,-0.972937,A
0.338852,0.923592,0.198437,-0.341384,-0.049933,-0.000179,0.192425,0.112830,0.359551,-0.165403,A
1.449435,0.985280,0.252899,-0.240234,-0.792619,-0.452239,0.206154,0.266207,0.117639,-0.359411,A
1.076242,0.192812,0.414632,-0.891208,0.093932,0.110165,0.341218,0.715710,0.493007,0.022470,A
0.035013,0.631683,-0.309785,-0.138038,-1.127494,0.542021,-0.200475,0.327607,-0.568454,-0.945259,A
1.076016,0.914899,0.133483,-0.594591,0.309841,-0.440939,0.803372,0.227585,-0.043654,-1.198352,A
-0.050895,-0.202643,-0.473745,-1.256602,0.312674,0.589877,1.062175,0.917089,0.722794,-0.480373,A
-0.336373,0.415808,-0.036773,0.432659,-0.250017,-0.218834,0.830363,1.078460,0.142754,-1.625484,A
0.180567,-0.184728,0.530762,-0.900990,-0.217296,0.696501,1.185403,1.261177,0.988210,-0.108870,A
0.460611,-0.117879,-0.706346,-0.977148,0.041206,0.422766,0.543318,0.899247,-0.451688,-0.765631,A
0.992544,0.795408,-0.985925,-1.308183,-0.204453,-0.183925,-0.330062,0.998670,0.342022,-0.826650,A
0.551321,0.473706,-0.486348,-0.467893,-0.378378,0.113638,1.841087,0.499670,-0.225681,-0.253811,A
0.751824,0.363572,-1.015804,-0.558337,-0.660962,0.229216,0.540667,0.265194,-0.289846,-1.859955,A
0.261044,-0.032201,-0.254487,-0.928801,-0.499495,0.015369,0.978747,-0.022867,0.220880,-0.240257,A
0.885166,1.208926,-0.089596,-1.074478,0.401461,0.377050,0.188012,0.416554,0.106287,-0.882798,A
0.997031,0.231687,-0.882660,-0.311998,0.001453,0.229580,1.011996,0.713680,-0.214974,-0.375769,A
0.736621,0.144539,-1.083977,-0.521207,-0.163796,0.010647,0.503789,0.505238,-0.245378,0.259783,A
0.194715,-0.180003,-1.046417,-0.391195,-0.783239,0.156677,0.570366,0.693266,-0.778559,-0.505489,A
0.720628,-0.428431,-0.526954,-2.406292,-0.909865,0.272254,0.572763,0.593685,-1.084147,-0.821829,A
0.313060,-0.109223,-0.344974,-0.050629,0.153358,1.081350,0.682231,0.177351,0.037466,-0.346084,A
0.072437,0.168769,-0.314193,-0.587216,0.229765,-0.105075,0.587829,-0.026868,-0.175423,-1.410539,A
0.479182,0.026039,0.130150,-0.130724,0.576135,0.357144,1.127542,-0.072102,-0.180810,-0.582200,A
0.554833,0.208595,-0.875634,-1.222813,-0.354908,0.406870,0.858825,0.076838,-0.229589,-0.861457,A
-0.338625,0.322149,-0.024631,-0.269875,0.741727,-0.103009,0.419444,-0.204794,-0.570711,-1.026230,A
0.768941,-0.552554,-0.487558,-1.774843,-0.815109,0.922117,0.267510,-0.489973,-0.799055,-0.023239,A
0.431678,-0.387168,-1.000309,-0.368365,0.676495,-0.036256,0.870913,0.076070,-0.974085,-0.518301,A
0.547202,-0.004449,-0.722037,-0.978380,0.698213,1.073801,0.825855,0.247942,-1.083080,-0.538976,A
0.095013,-1.043502,-0.532317,-0.356213,0.937848,0.698156,0.663020,0.323909,-0.400973,-0.772697,A
