f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
2.649404,2.279590,2.109878,1.744734,1.691739,1.376637,1.946889,2.438658,1.981219,1.611028,B
1.992482,2.203036,1.722606,1.612902,1.309013,2.066449,1.978436,2.374476,2.574342,1.382065,B
2.047648,2.129002,2.028968,1.359893,1.654959,1.692906,2.126015,2.345484,2.079374,1.670668,B
1.751097,2.129807,1.651976,1.808100,1.505948,1.216428,1.932822,2.156275,1.719068,1.723647,B
2.127978,2.156844,2.239646,1.993258,1.684776,1.464592,2.424784,2.033937,2.058104,1.620084,B
1.944718,2.203370,1.602368,1.729379,1.417346,1.199862,2.075755,2.261506,2.170755,1.173078,B
2.039160,1.992331,1.965221,1.457735,1.719559,1.596433,2.064044,2.039510,2.215200,1.729853,B
2.162400,2.312913,2.172377,1.266348,0.984433,2.183321,2.258543,2.104983,2.420440,1.250419,B
2.213820,2.331975,2.289640,1.526546,1.405966,1.670376,2.210939,2.768385,2.031106,1.466667,B
1.865573,2.075814,1.888793,0.808769,1.695679,1.702180,2.296662,1.664622,1.924064,1.217843,B
2.349701,1.687072,1.531039,1.002162,1.559931,1.786917,2.149241,2.483327,2.024120,2.011658,B
2.377986,2.095612,1.710378,1.285089,0.886672,1.811346,2.249881,2.358062,1.984611,1.715434,B
2.188374,2.667223,1.981554,1.691763,1.656735,1.957768,2.762518,2.460416,2.009719,1.553959,B
1.959488,2.274646,1.910040,1.182494,1.308158,2.141549,2.909679,2.014303,1.774791,1.343502,B
2.044360,1.931325,2.075853,1.530719,1.456552,1.645112,1.919123,2.137849,2.017885,0.709789,B
2.433210,2.086280,1.380475,1.333609,1.389793,2.178165,2.278876,2.123498,1.345680,1.677994,B
2.535888,1.991062,1.631457,1.422575,1.294982,1.762120,2.287049,2.497470,1.695260,1.304842,B
2.264074,2.709147,1.235622,1.431966,1.933518,1.786769,2.505245,2.248406,1.705710,1.145125,B
2.078971,2.139224,1.512437,1.354866,1.583826,2.016510,2.403081,2.228062,1.785726,0.825698,B
2.139737,1.918354,1.703882,1.211917,1.591305,2.070402,2.158850,1.727588,1.334580,1.379896,B
