f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
-2.414861,-2.385945,-0.126946,-0.104488,-0.543342,-0.627412,-0.401670,-0.236747,-0.570378,-0.412003,A
0.699171,3.104125,0.637757,0.491016,0.129414,0.242862,0.181085,0.484334,0.342573,0.272858,B
-3.029935,-1.709274,-0.451626,-0.335739,-0.564433,-0.603281,-0.271035,0.080022,-0.045229,-0.565288,A
2.178270,4.657734,0.582392,0.416087,0.482805,0.104205,-0.221990,0.451806,0.420208,0.160190,B
-1.477276,-0.924538,-0.256254,-0.439405,-0.560831,-0.141483,-0.877866,-0.825375,-0.959695,-0.202009,A
1.256211,4.213596,0.338188,0.068046,-0.033058,0.072737,0.254020,-0.109174,0.075304,0.438277,B
-1.947666,-1.870687,-0.555699,-0.815844,0.563491,-0.328867,-0.224841,-0.737305,-0.110654,-0.255317,A
2.459730,4.238447,0.538873,0.695042,0.393244,-0.150577,-0.056068,0.320712,-0.033175,0.365169,B
-2.358885,-0.845677,-0.354314,-0.393914,-0.640154,-0.284247,0.005002,-0.397640,-0.507895,-0.123700,A
0.231699,2.107796,0.581098,0.454064,0.036900,0.393127,0.344393,0.411968,-0.178855,0.142102,B
-2.757479,-2.790669,-0.912352,-0.524309,-0.053669,0.176564,-0.397975,-0.283580,-0.385894,0.075360,A
0.259095,0.724421,0.578922,-0.023250,0.729030,0.103160,0.459179,0.460729,-0.217760,0.208324,B
-2.309322,-1.216906,-0.551595,-0.497816,-0.210350,-0.057767,-0.779588,-0.957547,-0.371832,-0.360194,A
3.488457,2.734267,0.221133,0.196652,-0.009909,0.363128,0.121736,0.011389,0.500197,-0.441819,B
-3.155448,-2.104892,-0.873315,-0.446421,-0.180464,-0.065283,0.387446,-0.328396,-0.500022,-0.223080,A
-0.270728,2.600962,0.388578,0.224173,-0.881438,0.471572,0.056980,0.516944,0.414359,0.305024,B
-3.105885,-3.034434,-0.386234,0.412513,-0.194042,-0.176336,0.388249,-0.687382,-0.246252,-0.504936,A
2.079787,3.967011,0.377752,-0.034166,-0.082672,0.526113,0.191044,0.309010,0.775288,0.470118,B
-2.363031,-3.469081,-0.077975,0.341118,-0.913296,0.042520,-0.598818,-0.110715,-0.345571,0.197218,A
2.842485,4.084848,0.175171,0.561352,-0.104934,0.287097,0.312753,0.517767,0.549972,0.184045,B
-2.117342,-3.164807,-0.364233,-0.447501,0.166832,-0.464833,-0.158352,-0.516332,-0.080520,-0.387176,A
2.259250,0.067356,0.376478,0.480127,-0.079213,0.357911,0.474775,0.307731,0.373398,0.032606,B
-0.936129,-2.618527,0.128413,-0.021832,-0.590041,-0.432965,-0.356309,-0.194835,-0.235645,-0.245128,A
2.888189,0.419853,-0.316117,0.419262,0.477969,0.726852,0.152755,0.168075,0.506138,-0.066272,B
-1.889149,-2.979661,-0.658427,0.034287,0.109472,-0.521133,-0.536798,-0.423458,-0.445994,-0.595548,A
0.229068,2.704796,0.292843,0.749166,0.280915,0.059350,0.288288,0.496711,0.758914,0.422949,B
-2.506711,-1.577123,-0.567774,-0.549266,-0.957864,-0.291648,-0.401659,-0.594152,-0.563109,-0.441781,A
1.742472,0.253503,0.338360,0.555993,0.041779,0.354981,-0.012206,0.208094,0.430894,0.275115,B
-1.622162,-1.947698,-0.705038,-0.754179,-0.135150,-0.029212,-0.058180,-0.560458,-0.373313,-0.635144,A
0.429274,0.593825,0.128243,0.305205,0.192880,0.107312,0.330115,0.550881,0.377842,-0.127500,B
-2.484050,-1.744134,-0.041398,-0.572752,-0.815000,-0.235720,-0.375170,-0.358380,-1.070202,-0.602036,A
0.354820,2.874913,-0.115199,0.413670,0.817454,0.699761,0.127421,0.206065,0.306815,0.756871,B
-1.364518,-2.344287,-0.062690,-0.447881,-0.118569,-0.090412,-0.304295,-0.320511,-0.570305,-0.792158,A
