f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
2.696985,0.270067,0.607913,2.106425,0.263561,-0.296731,0.288686,-0.478970,0.197286,-0.869622,B
-0.182737,1.375174,0.677455,-0.627676,-1.614727,-0.519462,0.229306,0.488659,0.127805,-2.261428,B
-2.827007,-0.967847,-0.944776,-0.281725,-0.821810,0.232216,-1.129792,-1.349941,-1.360773,2.251641,A
-0.732519,0.020250,0.333469,-0.154975,-2.745616,-0.383831,0.723361,-0.060042,1.019822,-0.755627,A
-0.377307,-1.521181,-0.572662,-1.448107,-0.779500,0.849212,-2.180833,-0.103729,0.483863,-0.223030,A
2.348401,3.868183,2.096900,-0.521575,1.768921,-1.605670,0.626636,0.954288,2.028811,-1.259686,B
0.152345,-1.396969,2.218144,1.081427,0.820950,0.871282,-0.506543,-0.048784,-2.139650,-0.929953,B
-1.729641,-0.005493,0.908820,-0.842051,0.578830,-1.845603,-2.017712,-1.199381,1.376248,0.927260,A
-0.740586,-0.538353,1.109747,-0.403153,0.111657,1.308344,-0.102204,-0.095607,0.881177,0.696546,A
-0.743573,0.885646,0.853862,-0.786391,0.936372,2.217905,-0.140253,-0.208765,0.287961,-0.677770,B
-1.216512,-2.189666,0.295229,-1.692710,-0.907174,1.210642,-0.687624,0.995897,0.310686,0.011420,A
-0.002142,0.169217,-0.191337,-0.400560,0.893593,1.764995,1.613573,1.544250,1.862825,0.277952,B
-1.890930,-0.169168,0.772883,0.310629,-0.957846,-0.573599,-0.115990,0.593578,-1.331052,-0.901156,A
-2.497614,1.146228,-0.325897,-0.915515,2.214592,0.086114,0.456940,1.242669,0.332751,0.111383,B
-2.575372,0.779125,0.616727,-1.255863,0.213862,1.332478,0.343545,-0.064626,-1.373773,-1.392958,A
0.466467,-1.031908,2.662728,-1.876878,1.359412,-1.387463,-0.255926,0.674157,0.946278,0.356935,A
-1.262333,-2.707948,0.506187,0.143957,-0.723843,0.493127,-1.295707,0.410155,-1.462229,-0.426449,A
-0.142346,-2.335472,1.759396,2.170613,-1.665653,-1.337814,-0.552772,-1.214010,0.538088,0.532797,A
-2.018377,-0.212155,0.218245,1.212701,-1.070623,0.154781,0.160995,0.304548,-1.022351,-1.599210,A
2.520435,1.658733,-0.678943,0.465297,-2.768376,-0.396863,0.939384,0.611298,-0.505263,-0.939639,B
-1.657701,-1.485390,2.507964,-0.180421,1.859915,-0.829721,-3.054071,-0.620520,-0.418417,-2.017569,A
1.431005,4.104935,-0.040283,2.079997,-0.127794,1.894621,0.830384,1.194938,0.730492,0.026755,B
0.539995,0.537048,0.510311,-0.026523,-0.535421,0.344370,-1.159434,-1.974933,0.065816,-1.714365,A
1.060687,0.456691,0.432731,-0.581824,0.678495,-0.572684,-0.188513,-1.088246,-0.658999,0.178444,B
-2.094580,0.117471,0.592995,0.801119,0.143506,0.225057,-0.261412,1.263264,-0.776023,-1.682646,B
-1.195699,2.787916,-0.704771,-1.315577,0.603706,-2.275465,-0.810602,2.445443,-1.329264,0.366687,B
0.386214,-1.445257,-1.700505,-1.391871,0.432700,-0.059300,-0.435995,0.820959,-1.777709,0.090684,A
0.804194,-1.237801,1.126316,1.164607,-2.070865,0.492833,0.918096,0.213129,0.316436,0.843911,B
-0.577787,-1.237997,0.642762,0.305261,2.139025,-2.325830,-2.137697,-0.865254,-1.171669,0.729777,A
-0.910023,-2.026978,0.542620,0.130728,-0.066225,-0.625908,0.359971,-0.303637,-0.663467,-0.022448,A
-0.236895,0.569318,0.908368,-1.075465,0.733295,-1.021241,-2.166241,-0.102258,-1.311232,0.309098,B
0.926383,-2.360114,-1.515649,-0.338372,1.245414,-0.266165,-1.129365,1.161634,-0.537125,0.088748,B
-1.720117,-1.458420,-2.198935,-0.654965,0.629476,1.007613,-0.135966,0.393332,1.275126,-0.914646,A
1.775728,-0.450907,1.311868,0.289522,-0.179575,-0.657577,0.162857,-2.363498,0.430934,-0.071535,B
1.836603,2.622906,1.401490,-1.203900,-0.147509,0.372272,-0.471039,1.706194,-1.017609,0.687119,B
-0.641836,-0.461796,0.178442,0.490169,-0.684493,-0.567921,0.075202,0.351793,-0.214734,0.506561,B
0.511560,0.744209,2.823837,-0.909118,-0.642655,0.495986,0.075617,-0.440602,1.065236,0.234867,A
4.760990,0.644539,1.984441,-0.154326,-1.565480,-1.821070,0.535424,0.895587,2.034211,0.346188,B
-1.306386,0.438430,0.047194,-1.746336,-2.239320,0.384835,-0.882542,-1.951444,-2.305880,-0.882094,A
-0.150056,1.734630,0.574826,2.192583,2.038609,0.222830,2.248526,-1.721178,1.772052,-0.833801,B
-1.326557,0.823773,1.256950,-0.177916,-1.886657,-0.548706,0.129071,-0.863700,-0.781661,0.127311,A
0.403109,-1.294301,0.035421,0.613211,1.760145,0.466487,3.374644,-0.730043,-0.542649,0.693847,B
0.232754,-1.880077,-0.849781,0.568607,0.144049,-0.879854,0.403211,0.587056,0.195780,-0.122259,A
1.309245,3.343842,0.254674,-1.773735,1.519720,2.298256,-0.265774,0.577197,0.074901,0.953301,B
-3.000696,-0.103570,-0.450969,0.393293,-0.759455,-1.546744,-0.771982,1.478567,0.222706,-1.903593,A
-2.034558,-1.243476,-1.029903,-0.010561,-0.580307,1.872138,-0.335941,0.613263,-0.141653,0.433442,A
-0.758419,-2.259027,-1.645600,-1.084947,-0.739529,-0.206916,-0.146187,0.529277,1.823737,-1.076217,A
-1.418955,0.966453,-1.416210,0.353231,-0.253384,0.544722,0.418373,1.256491,-1.732385,0.064724,B
2.236996,4.841288,0.117534,2.190537,0.924359,-1.631144,-0.754989,0.413146,-0.668290,0.893091,B
-0.815349,0.872104,1.072423,-0.625561,0.545302,0.665457,0.452976,2.694278,-0.164866,0.213670,B
3.394814,3.324268,-2.147116,1.280501,-0.241691,-0.971047,1.980940,1.285111,-0.727177,-0.434712,B
3.693632,1.015628,1.207776,0.983149,-0.459063,0.473474,-1.236197,-0.485625,0.693278,-0.977982,B
-1.201331,-1.006179,0.811959,-0.388057,-1.178795,-2.452030,-0.261522,0.256588,0.394638,1.139179,A
-0.187566,0.295404,-0.876136,1.384881,0.758704,2.123690,0.689869,-0.624392,-1.425249,-0.731061,B
0.710798,-3.785488,0.093818,0.663001,-0.809009,-0.962082,-0.848421,-0.335673,-1.161915,-0.483489,A
-0.315897,-0.610533,-1.987907,-1.080076,-1.266467,-0.418327,-1.291972,0.774386,0.633130,0.087489,A
-2.124473,-0.822524,1.030227,-0.078453,-0.294226,2.619504,-3.689981,-0.978805,0.154906,-0.365507,A
2.187823,0.420306,0.121341,-1.451990,1.783905,1.331532,1.285478,0.570775,0.148637,-0.683842,B
-0.419393,-1.591341,-2.544504,-0.985796,0.475137,0.255582,-0.112342,-0.268746,-0.639688,-0.777969,A
0.857602,3.839684,-0.289333,-0.438550,-1.046889,-0.120979,1.352634,-0.340904,-0.364223,1.136362,B
1.973228,0.119804,1.467300,-0.607577,1.461534,-0.437313,-0.219311,1.388866,-1.841034,0.235840,B
-0.149151,2.453884,0.983234,2.311034,-0.229087,-1.200237,-1.500403,1.962976,0.174079,-0.004614,B
-1.116228,0.580880,-2.136771,2.138771,-0.818252,-1.917193,-0.308883,-0.977306,2.106804,-1.401212,A
-1.536349,-0.308932,0.590064,-1.250112,1.969222,2.363939,-0.244498,2.654657,0.440392,1.207781,A
0.287485,-0.014110,-1.418525,1.201524,0.383129,-1.397931,-1.016670,-2.386741,0.059723,0.694469,B
2.602904,2.586433,0.542444,0.062373,-0.655957,1.523607,-2.164053,-0.621974,1.122145,-0.980521,B
-0.630497,0.063313,-0.377486,-1.492292,-0.106649,-1.277401,-0.627757,-0.939115,-0.868452,-1.143322,A
5.209153,3.308976,1.025751,0.830821,-1.016059,-0.902366,1.726951,-1.505058,0.341664,0.464369,B
-1.922237,-1.890446,0.361494,0.923512,-0.325222,0.388217,0.219153,-0.206666,-0.172432,-0.493579,A
2.710744,-0.205187,0.194159,-0.792281,-0.717826,-0.439507,0.505128,-0.832148,-0.387598,2.008510,B
-2.862458,-1.660371,-1.764113,-1.696665,-0.860219,0.823748,-1.181272,-0.147505,-0.545988,-1.895399,A
-1.317210,-0.955600,1.277806,-0.432440,-1.108427,-0.552037,0.686656,0.095863,-0.417740,-0.144365,A
0.390156,-0.792724,0.381786,1.242428,1.448941,-0.502729,1.735095,1.291690,-1.390369,0.222333,A
1.354566,1.804083,-1.062764,0.477568,0.715968,-0.316256,-0.089991,3.158775,0.635644,0.410141,B
1.138553,1.922148,0.375278,-0.250161,0.684702,-0.468160,-0.173694,0.968661,-0.654273,-0.984990,B
-3.433871,1.103405,0.504561,1.509634,1.072501,3.173728,-1.833485,-2.089351,-1.093691,-1.058332,B
0.342968,-2.051651,-0.094084,1.259346,-0.174257,-0.086646,-0.159267,1.871704,-0.033262,0.050066,A
-0.700656,-0.684786,0.077314,-0.155881,0.419283,-0.955383,0.572700,-0.822845,0.642754,0.781827,A
-0.261650,-1.532885,-0.252419,-1.188287,-0.835781,0.801057,-0.415016,-1.358964,-1.893396,0.394642,A
-0.844088,-0.817649,-0.917819,1.629229,0.405552,-0.347679,-1.035776,1.169345,-0.087732,-0.752969,A
0.625050,-1.327833,0.232947,-0.698928,0.081089,-1.789603,-1.393263,-0.203240,0.835255,-0.070728,A
2.662613,5.231591,-1.937076,0.788835,0.365586,-1.793576,0.110607,0.358240,-0.140845,0.313770,B
0.719421,-0.592215,1.767140,1.802744,-1.270559,0.885647,-0.747508,0.985970,1.360593,0.473638,A
-1.410067,0.774066,0.381059,-1.839997,-1.569330,2.146158,1.073271,-1.220900,-2.229531,-1.342491,A
-0.680028,1.333005,1.173095,0.393747,-0.591096,-1.211139,1.882002,-0.063588,0.055485,-1.176772,B
-0.386062,3.180072,0.694079,1.515466,1.036746,-1.605079,-1.379782,0.749257,0.217667,0.625305,A
0.027338,0.658723,-0.617336,0.033156,-1.084344,1.312633,0.354205,-1.506769,-0.444652,-0.252008,B
2.872850,-0.472305,-0.755635,1.854987,0.562903,-1.649843,1.388341,2.131146,-0.454406,-1.465214,B
-0.249845,-2.226615,-0.571291,0.765556,-0.246863,-1.080359,0.887010,-0.967685,-1.652752,-0.002078,A
0.919613,-1.281623,1.128418,-0.308614,0.570773,1.810933,-0.160377,-0.036414,-1.305004,0.473202,A
0.283877,0.547217,0.234584,-0.936694,0.951865,0.612164,-1.268124,-0.038182,-0.567856,-0.731072,A
-0.570684,3.266718,-0.272361,-1.247638,0.565383,-0.055490,-0.435294,-0.197232,-0.199998,1.152015,B
1.646969,0.799909,-0.779138,0.602501,0.398099,-0.386622,0.829166,-0.919817,0.196107,1.063885,B
0.589170,0.502996,1.319225,-0.809736,-1.263293,0.460937,-1.212225,0.393033,0.369741,0.394277,B
0.718761,1.581642,0.850565,-0.950659,1.476736,2.323363,1.099898,1.160825,2.964025,-0.916086,B
1.124759,0.534761,0.798088,2.565344,0.394196,-0.177376,1.763663,1.587620,1.250339,1.514267,B
-0.068356,2.223965,1.475290,-0.533692,-1.006786,1.313599,-0.099159,-0.898893,0.416760,0.312188,A
-1.095143,-1.028602,-0.051126,0.930083,-0.537911,-1.536774,-0.685642,-0.789285,-0.525057,-1.563572,A
1.794316,-1.530013,-0.163617,0.942367,-0.356916,-0.687635,-0.405894,1.176901,-1.782541,1.199907,B
-0.339410,4.492784,0.334397,0.295692,-0.297363,-0.501002,-0.317328,-0.308061,-0.792160,-0.094890,B
-0.249241,1.002847,1.578275,-0.072170,-0.473403,0.480676,0.875955,-1.669291,-1.560333,1.749381,B
2.882054,-2.377399,0.433167,-1.010010,1.479401,0.163407,1.524268,1.513907,1.016897,2.011094,B
-0.250491,-0.855047,0.214854,0.354405,2.355206,0.084522,-0.634106,0.687393,-0.562955,-0.871927,A
-0.700595,0.700629,2.203581,-0.128764,-0.518722,-0.419495,-1.930899,-0.284447,-0.746781,-0.238542,A
-0.430366,-1.325271,-1.019302,0.136615,-1.738373,0.933874,1.034026,-1.662961,-0.176143,0.935699,A
-0.357066,-1.446511,-0.383568,-0.533253,-0.684457,-0.711089,0.058821,-0.144387,-1.226716,0.936290,A
2.141090,1.238956,-2.231863,-2.364011,-0.127311,1.954487,1.122364,-0.016657,-0.358000,-0.274281,B
0.328685,0.268170,-0.673079,0.414215,-1.915204,-0.022629,-0.658905,-0.387845,0.742128,2.081337,B
-1.163275,0.870823,-1.862172,0.391170,-1.328127,-1.251132,0.933768,-0.604200,-1.083791,-0.173809,A
0.820578,-0.812632,0.370244,0.058606,0.055197,-0.143218,0.557302,-0.253901,0.649078,-1.911844,A
-2.920983,-0.550745,1.330622,-0.541089,-0.462842,0.305109,0.967228,-0.303869,0.407662,-0.892529,A
4.098770,-0.981795,0.933282,-1.500253,0.263889,-0.347769,-1.885707,0.099023,-0.107070,-0.528332,B
-2.792673,-0.589993,-1.457421,0.595197,-0.225337,-0.094764,-1.431959,-1.145255,-1.443904,0.870675,A
6.080789,2.849467,2.141183,1.502018,-1.840416,-0.149356,-0.472400,1.084387,0.114582,0.468164,B
-0.875859,-0.588562,-1.978759,-0.402704,-0.960721,1.598336,1.346541,0.507903,1.108664,-0.484813,A
-1.844299,-1.809820,-0.958053,-0.979790,-0.533563,-0.246083,0.096854,-1.493402,-1.213935,-0.504131,A
-1.201971,0.445200,-1.349374,-0.384132,-1.298994,-0.265121,-0.649098,1.337469,0.875243,0.410897,A
1.018662,-1.225408,-1.483495,-0.674441,0.514981,-0.633415,-0.318635,0.466307,-0.992240,1.249282,B
-0.399954,-1.467126,0.558680,-0.649646,1.479404,-0.539590,-2.200976,-1.167575,-1.598931,0.950764,A
-1.643853,2.351684,0.715107,-1.228563,0.167060,-0.154759,1.855455,-0.017136,0.268321,-0.049594,B
-0.678511,-0.642315,-0.307459,1.782460,0.313501,-1.793973,1.295392,-1.246834,0.099134,-0.541465,A
1.292803,-2.424459,0.594488,0.063072,-0.526011,1.046990,0.450055,-1.395279,0.285356,-0.986295,B
-2.485692,0.964619,-0.871592,1.083884,-2.750868,0.279441,0.050202,-0.187700,1.631787,-0.356869,A
0.677414,1.671268,-0.620692,0.832998,-1.411081,1.313968,-0.329914,-2.057585,0.093265,1.021572,B
1.516891,1.224172,-0.686589,0.090701,0.679453,-1.403084,2.041699,-0.447957,-1.019032,-0.438190,B
-0.336330,-2.231292,-0.159804,0.209097,-0.578411,0.846721,2.417340,0.410692,0.346382,-1.300397,A
1.364799,-1.983763,-0.397410,-0.099851,2.055584,-0.734819,1.112054,-0.169417,-0.648393,1.678788,B
-0.651596,2.277782,0.999814,1.041694,-0.750800,-0.341083,1.099719,0.066792,0.743952,-0.071728,B
-1.399440,-1.774059,0.008928,-1.254252,-0.248947,2.381099,0.298594,-0.328761,-0.618583,-1.143487,A
0.557527,1.822601,0.623111,-0.692432,-0.546091,1.370093,0.347873,1.328838,-0.914935,1.344789,B
-1.667706,0.072404,0.730086,-0.671309,-1.670642,-0.427666,-1.000559,-0.844333,-0.034195,0.022118,A
-1.112063,1.011934,0.068131,-1.342245,0.061223,-0.209120,-0.591679,-1.731118,-0.248711,-0.477839,A
2.881194,-0.066749,1.088690,0.627887,-0.037880,0.134525,0.630495,-0.439896,0.881453,0.803721,B
2.791756,-0.893081,1.313931,1.716233,0.589300,-1.001892,0.316693,-0.404549,0.818699,0.365138,B
0.275043,-0.142786,-0.084706,0.004306,0.288423,-0.893994,-1.113126,-1.452246,-0.073103,1.041481,A
-2.538774,3.306000,0.747960,0.647687,-0.223132,-1.207388,0.840793,0.900560,1.529904,2.128755,B
-0.325147,-0.355705,-0.355389,-1.731157,-0.514622,-1.417647,0.003282,0.533510,-0.581827,-1.882203,A
-0.032077,-3.732334,2.951635,-0.225578,1.321254,-1.024895,-0.351649,-2.336279,-2.744269,-1.665844,B
-1.399064,-2.472008,0.236674,-0.071491,-0.086563,-0.978940,-0.071106,-0.065893,1.593939,0.601675,A
3.957106,-0.557242,-0.419144,-0.489746,0.202522,0.358922,0.260270,0.136009,-1.715682,0.870761,B
-0.983321,-1.820477,0.832224,-2.007357,1.072428,-0.226371,-0.008856,-0.636435,0.483321,-1.289352,A
2.282100,-0.136961,0.039491,-0.152452,-0.270558,1.257148,-1.606434,-0.503065,-0.834286,-0.660942,B
2.415979,1.932791,1.422585,0.402044,-0.158291,0.337561,0.395992,0.658390,-0.346172,-0.675449,B
-1.412900,-0.055895,0.786523,-0.197901,-1.661029,-0.509915,-0.801968,0.591106,-1.032577,1.616124,A
-0.607154,-0.193172,-0.043267,0.490794,1.079882,-1.117464,0.342485,0.119174,1.795975,0.391890,A
2.627134,2.638860,0.405473,1.154318,1.520926,1.390183,-1.630104,0.921798,-1.688873,1.169504,B
-0.100300,-1.261812,0.412185,2.369594,0.435846,-1.169034,-0.208876,-0.061731,-0.869067,-0.906136,A
2.493651,1.318407,-0.503984,0.991898,2.495361,0.973598,-1.152545,0.519411,-0.485547,-0.800228,B
1.342731,4.340575,-1.417272,0.383700,-0.156579,-0.658347,0.184751,-0.692620,0.371734,-1.482860,B
-2.764503,0.629886,0.641962,1.643964,0.240384,-0.337569,0.126378,0.790625,0.941957,0.385312,A
-1.057707,-1.890181,-0.304680,2.288947,-0.667272,-0.592655,-1.667981,1.135026,0.163881,0.201063,A
-1.805987,-1.243882,1.190669,-0.438042,-0.653570,-1.779746,1.201864,0.923628,0.139539,-1.031545,A
