f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
0.021839,-0.710090,-0.598226,0.593980,1.397826,-0.455643,-0.251929,-0.365553,0.738156,-0.786531,A
3.373587,-0.108696,0.331467,-0.067158,-0.948498,-0.316418,0.468206,0.816537,-0.776392,0.644024,B
-2.463310,-1.057458,0.525004,-0.250861,0.814782,1.546614,-1.855037,-0.106852,-0.170770,0.075568,A
2.236650,-0.898624,1.392112,-1.078300,0.329922,-0.464705,-0.642835,1.027304,-0.382703,-0.194670,B
-2.944997,-1.620874,-0.191292,-0.739358,-1.677833,-0.841562,1.359738,-0.512814,-0.608109,-0.355795,A
-1.149008,-2.761363,-1.129259,0.894636,-0.674208,-0.561114,-0.098061,-0.797703,-0.243417,0.225876,A
-1.223717,-2.403357,-1.171108,-0.469546,-1.024547,-0.004345,-0.268809,-1.177688,-1.183974,-0.464836,A
1.086780,3.204173,2.153684,-0.127411,0.100816,1.294334,1.137704,-0.465910,-0.526853,-0.271489,B
-1.574783,-0.638484,-0.427867,-0.778459,-0.297273,-0.792262,0.655038,-0.680108,-0.375910,0.537025,A
-0.509335,-1.880882,-0.714124,-0.071617,-0.354990,1.692013,-0.288554,0.251258,-0.716008,0.821067,A
2.415544,2.964839,-0.299333,-0.836636,0.022721,0.796421,0.278649,-0.422891,0.090015,0.358685,B
-3.018085,-0.763785,-0.107511,-0.651559,-0.877856,-0.235988,0.056186,-0.868867,-0.286973,-0.233638,A
0.435350,2.299487,0.621826,0.629449,0.016304,-0.505291,-2.369909,0.474265,-0.723446,-0.113454,B
-1.162380,-0.642206,-0.517643,0.277375,-0.337068,-0.703102,-0.670617,-0.241249,-1.273474,-0.754511,A
-2.970023,-1.002370,-0.417143,-0.828225,0.853973,-0.584445,-0.011746,-0.256748,1.267245,-1.098212,A
2.343194,3.058452,0.282557,-0.502782,0.117561,0.065787,0.656695,0.423494,-0.381529,0.791119,B
-0.990054,-0.896388,-1.139061,0.571863,0.337518,-0.581652,-0.473654,-0.472178,-1.327569,-0.897207,A
3.980698,1.580981,1.165393,0.330908,0.628542,0.379972,0.493106,0.840732,0.988376,1.044100,B
-1.183678,-1.295560,-1.102535,0.268119,-1.090849,-0.698579,0.501950,0.279721,-1.052221,-0.304518,A
2.873846,3.040473,1.187942,-0.793809,0.782423,0.458409,0.793409,-0.214507,-0.278632,1.368815,B
-1.693201,-2.434543,-0.615962,0.554226,-1.419055,-0.994588,-0.186828,0.233162,0.763247,-0.756609,A
4.372125,1.077000,0.182054,-0.243252,0.385419,1.288086,-0.213325,0.252894,0.434374,-0.577483,B
-1.554966,-2.578122,0.146899,-1.186528,-0.130227,-0.146001,0.148210,0.825591,-0.846591,-0.570433,A
3.260744,0.415264,-0.272814,0.260088,-0.298606,0.403623,1.252116,-1.311158,-0.446988,1.043542,B
-0.742174,-0.433942,-0.742512,-1.538859,0.283296,-0.606720,0.371762,-0.425146,0.198662,0.056471,A
0.061072,1.072837,-0.139552,0.926261,-0.813634,0.640874,-0.165984,1.167569,0.225654,-0.073229,B
-2.651009,-1.383822,0.005110,-0.970034,-0.333456,-0.305923,-0.032787,0.320858,-1.068013,0.395284,A
-0.896572,0.146270,0.989343,0.405618,0.728088,-0.499026,-0.076326,-0.519563,-0.487229,-0.569468,A
-0.883919,1.627185,0.225188,0.126576,0.859921,0.099960,-0.021643,-1.459036,-0.513172,0.339887,B
2.222371,-0.445778,0.334764,-0.369345,-0.011569,0.644398,0.440117,0.915494,1.917049,-0.697323,B
-0.806340,-2.302878,-0.454802,-1.645396,-0.264737,-0.100878,0.152374,0.428749,0.967184,-0.469756,A
3.066210,2.614903,-0.376871,0.160175,-0.120243,-0.165015,-1.579030,1.057838,0.978207,-0.224310,B
2.129056,3.099232,0.092827,-0.540201,0.700327,0.110716,0.220210,0.657838,0.570494,0.991921,B
3.043301,2.073282,0.873976,0.800414,0.349734,0.304754,0.203357,0.346281,-0.154870,-0.174788,B
-2.342844,-0.597720,0.537306,-0.223301,-0.413942,-1.385663,0.442588,-0.692055,-0.705856,0.322815,A
0.613957,-0.479167,-0.169611,0.417350,0.219738,0.810464,0.691465,0.782758,-0.870610,-0.371535,B
-2.313744,-0.792852,0.402710,0.514875,-0.340245,0.711492,0.465916,-0.094029,0.440772,-0.760476,A
3.118762,3.435439,-0.527756,0.582284,0.881126,-0.800852,0.241224,1.261304,-0.091480,1.204263,B
-3.319253,-1.371113,0.642576,-0.682719,0.885491,-1.138931,-0.208295,0.246432,0.354991,-0.042572,A
-2.421791,-3.605948,0.883799,-0.027328,-0.346010,-0.743450,0.057965,-0.258988,-0.217030,-0.492233,A
